"site","cam_id","date","jday","hour","tod","image_type","photo_count","SCMU_hourly_det","CORA_hourly_det"
"Lava1","cam_01",2021-02-16,47,6,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,6,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,7,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,7,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,8,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,8,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,9,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,9,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,10,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,10,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,11,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,11,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,12,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,12,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,13,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,13,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,14,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,14,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,15,"day","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,15,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,16,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,16,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,17,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,17,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,18,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,18,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,19,"night","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,19,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,20,"night","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,20,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,21,"night","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,21,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,22,"night","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,22,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,23,"night","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,23,"night","timelapse",6,1,0
"Lava1","cam_01",2021-02-17,48,0,"night","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,0,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,1,"night","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,1,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,2,"night","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,2,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,3,"night","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,3,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,4,"night","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,4,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,5,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,5,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,6,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,6,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,7,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,7,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,8,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,8,"day","timelapse",6,0,0
